vector,source_type,country,year,y,x
Aedes aegypti,18117,Thailand,2010,15.1025848,104.573433
Aedes aegypti,18118,Nigeria,2011,7.5484047,4.4978307
Aedes aegypti,18119,Congo,2011,-4.2694407,15.2712256
Aedes aegypti,18120,Malaysia,2007,3.0448394,101.4447363
Aedes aegypti,18120,Malaysia,2008,3.0448394,101.4447363
Aedes aegypti,18121,India,2008,22.5726459,88.3638953
Aedes aegypti,18122,Malaysia,2010,5.4141619,100.3287352
Aedes aegypti,18123,C?te d'Ivoire,2010,5.256881,-3.958626
Aedes aegypti,18124,Brazil,2008,-3.1316333,-59.9825041
Aedes aegypti,18124,Brazil,2009,-3.1316333,-59.9825041
Aedes aegypti,18124,Brazil,2010,-3.1316333,-59.9825041
Aedes aegypti,18124,Brazil,2011,-3.1316333,-59.9825041
Aedes aegypti,18126,Malaysia,0,3.1526589,101.7022205
Aedes aegypti,18128,Tonga,2011,-21.1551517,-175.2269029
Aedes aegypti,18129,India,2010,22.5726459,88.3638953
Aedes aegypti,18130,Malaysia,2007,3.0739429,101.5185278
Aedes aegypti,18130,Malaysia,2008,3.0739429,101.5185278
Aedes aegypti,18131,Central African Republic,2010,4.3635118,18.5835913
Aedes aegypti,18131,Central African Republic,2010,5.0421303,21.2109342
Aedes aegypti,18131,Central African Republic,2010,5.2678614,17.6432208
Aedes aegypti,18131,Central African Republic,2010,5.9480074,19.2158871
Aedes aegypti,18133,Thailand,2010,14.3360965,98.9757025
Aedes aegypti,18133,Thailand,2010,16.4303916,102.8355904
Aedes aegypti,18133,Thailand,2010,17.7942771,102.5414522
Aedes aegypti,18134,Cameroon,2009,3.8689867,11.5213344
Aedes aegypti,18136,India,2005,15.3979351,74.0079788
Aedes aegypti,18136,India,2006,15.3979351,74.0079788
Aedes aegypti,18137,Mexico,2011,21.1527467,-86.8425761
Aedes aegypti,18139,Sri Lanka,2008,7.8381021,81.5567533
Aedes aegypti,18139,Sri Lanka,2008,9.665093,80.0093029
Aedes aegypti,18139,Sri Lanka,2010,7.7850513,81.5909767
Aedes aegypti,18139,Sri Lanka,2010,9.665093,80.0093029
Aedes aegypti,18139,Sri Lanka,2011,9.6734908,80.0290277
Aedes aegypti,18140,Malaysia,2007,5.4141619,100.3287352
Aedes aegypti,18141,India,2010,24.5423801,85.69301
Aedes aegypti,18142,Mayotte,2006,-12.8518289,45.0993169
Aedes aegypti,18142,Mayotte,2006,-12.8365417,45.1127278
