vector,source_type,country,year,y,x
Aedes albopictus,10681,Mexico,1995,26.0907673,-98.2788191
Aedes albopictus,10701,Cuba,1996,23.0002058,-82.3881198
Aedes albopictus,10735,Brazil,1988,-22.1225167,-51.3882528
Aedes albopictus,10735,Brazil,1988,-21.9527,-51.413956
Aedes albopictus,10735,Brazil,1988,-21.765074,-52.11114
Aedes albopictus,10754,Nigeria,2002,5.8179105,7.0409322
Aedes albopictus,10754,Nigeria,2002,5.5859456,7.0669651
Aedes albopictus,10766,United States of America,1987,34.0351727,-77.8935966
Aedes albopictus,10851,Papua New Guinea,0,-9.4821537,147.1844577
Aedes albopictus,10851,Timor-Leste,2011,-8.9911326,125.203312
Aedes albopictus,10851,Timor-Leste,2011,-8.9620152,125.0318801
Aedes albopictus,10851,Timor-Leste,2011,-8.5760875,125.5828569
Aedes albopictus,10851,Papua New Guinea,2011,-6.7301976,147.0008109
Aedes albopictus,10851,Papua New Guinea,2011,-5.90799,141.2736051
Aedes albopictus,10917,Brazil,2002,-22.1167884,-43.2087226
Aedes albopictus,10917,Brazil,2011,-22.7592175,-43.4508728
Aedes albopictus,11040,Singapore,2011,1.2899175,103.8519072
Aedes albopictus,11041,Singapore,1968,1.2899175,103.8519072
Aedes albopictus,11060,Malaysia,2002,3.2537121,101.6539012
Aedes albopictus,11062,Malaysia,2002,3.1526589,101.7022205
Aedes albopictus,11062,Malaysia,2002,3.1516964,101.6942371
Aedes albopictus,11062,Malaysia,2002,3.2537121,101.6539012
Aedes albopictus,11123,Puerto Rico,2002,18.0668224,-66.6140412
Aedes albopictus,11123,Puerto Rico,2002,18.2008804,-66.3083477
Aedes albopictus,11123,Puerto Rico,2004,18.2129421,-66.0558844
Aedes albopictus,11136,United States of America,2003,38.6268666,-90.159707
Aedes albopictus,11147,Colombia,2006,3.4519988,-76.5325259
Aedes albopictus,11157,Brazil,1994,-22.6109158,-43.7096912
Aedes albopictus,11161,Brazil,2003,-22.9110137,-43.2093727
Aedes albopictus,11187,Brazil,1995,-22.9056391,-47.059564
Aedes albopictus,11193,Brazil,2004,-22.9110137,-43.2093727
Aedes albopictus,11193,Brazil,2004,-22.7592175,-43.4508728
Aedes albopictus,11212,Brazil,1998,-20.3914471,-40.4966587
Aedes albopictus,11258,India,1994,29.9384473,78.1452985
Aedes albopictus,11268,India,2000,25.7509562,93.9594034
Aedes albopictus,11269,India,1997,25.4434703,92.1973181
Aedes albopictus,11269,India,1997,25.5122108,90.6308887
Aedes albopictus,11269,India,1997,25.5379432,91.2999102
Aedes albopictus,11269,India,1997,25.9041378,93.7177609
Aedes albopictus,11269,India,1997,26.132275,90.1249962
Aedes albopictus,11269,India,1997,26.0543348,91.8696498
Aedes albopictus,11269,India,1997,26.1805978,91.753943
Aedes albopictus,11269,India,1997,26.4800126,90.5580387
Aedes albopictus,11269,India,1997,26.4073841,93.2551303
Aedes albopictus,11269,India,1997,26.7577925,94.2079645
Aedes albopictus,11269,India,1997,27.0169707,95.5346418
Aedes albopictus,11269,India,1997,27.1599858,95.5189841
Aedes albopictus,11269,India,1997,27.254431,94.1120339
Aedes albopictus,11269,India,1997,27.438398,95.7409824
Aedes albopictus,11269,India,1997,27.286295,95.3258308
Aedes albopictus,11269,India,1997,27.3559134,95.3192307
Aedes albopictus,11269,India,1997,27.3956145,95.614868
Aedes albopictus,11269,India,1997,27.4844597,94.9019447
Aedes albopictus,11269,India,1997,27.4879722,95.3601855
Aedes albopictus,11317,Brazil,0,-20.8141411,-49.507449
Aedes albopictus,11335,Mexico,1998,20.1197165,-97.0461647
Aedes albopictus,11335,Mexico,1999,20.1197165,-97.0461647
Aedes albopictus,11353,Madagascar,0,-13.3516121,48.1943884
Aedes albopictus,11353,Madagascar,0,-13.3144945,48.2768088
Aedes albopictus,11411,Brazil,2003,-19.9227318,-43.9450948
Aedes albopictus,11451,Brazil,1993,-22.95714,-45.547526
Aedes albopictus,11571,Singapore,1967,1.2899175,103.8519072
Aedes albopictus,11584,Brazil,1998,-22.7592175,-43.4508728
Aedes albopictus,11586,Brazil,1999,-22.7592175,-43.4508728
Aedes albopictus,11601,Viet Nam,1998,10.8298295,106.7617899
Aedes albopictus,11610,Mexico,1995,26.0907673,-98.2788191
Aedes albopictus,11622,Indonesia,1995,-4.4337339,119.6778273
Aedes albopictus,11645,Thailand,2005,14.8971921,100.83273
Aedes albopictus,11675,Japan,2006,35.6706436,139.7719923
Aedes albopictus,11680,India,2001,13.0836939,80.270186
Aedes albopictus,11684,Sri Lanka,1986,6.9388614,79.8542005
Aedes albopictus,11684,India,1986,26.1126718,92.0097323
Aedes albopictus,11684,United States of America,1986,29.7589382,-95.3676974
Aedes albopictus,11684,United States of America,1986,30.8703881,-92.007126
Aedes albopictus,11684,United States of America,1986,30.3321838,-81.655651
Aedes albopictus,11684,Japan,1986,33.2185408,130.1296585
Aedes albopictus,11684,United States of America,1986,35.1460249,-90.0517638
Aedes albopictus,11684,Japan,1986,35.4886835,139.407691
Aedes albopictus,11684,United States of America,1986,37.970495,-87.5715641
Aedes albopictus,11684,United States of America,1986,39.7683331,-86.1583502
Aedes albopictus,11684,Brazil,1987,-23.5506507,-46.6333824
Aedes albopictus,11684,Brazil,1987,-19.936339,-40.597945
Aedes albopictus,11684,Malaysia,1987,3.1516964,101.6942371
Aedes albopictus,11684,Malaysia,1987,4.8630743,102.9949297
Aedes albopictus,11684,Malaysia,1987,5.9780066,116.0728988
Aedes albopictus,11684,United States of America,1987,34.0351727,-77.8935966
Aedes albopictus,11684,United States of America,1987,36.3926798,-79.744144
Aedes albopictus,11684,United States of America,1987,38.0464066,-84.4970393
Aedes albopictus,11684,United States of America,1987,38.9130453,-75.4278733
Aedes albopictus,11684,United States of America,1987,40.3270127,-86.1746933
Aedes albopictus,11684,United States of America,1987,39.2908816,-76.610759
Aedes albopictus,11684,United States of America,1987,40.3995094,-82.2776566
Aedes albopictus,11684,United States of America,1987,41.8755616,-87.6244212
Aedes albopictus,11684,India,1988,29.9384473,78.1452985
Aedes albopictus,11684,Japan,1988,31.521587,130.5474077
Aedes albopictus,11684,United States of America,1988,32.0790074,-81.0921335
Aedes albopictus,11684,Japan,1988,33.1154683,129.7874339
Aedes albopictus,11684,Japan,1988,35.6580089,139.7515137
Aedes albopictus,11684,United States of America,1988,38.6268666,-90.159707
Aedes albopictus,11692,Sri Lanka,1998,7.2931208,80.6350358
Aedes albopictus,11710,Viet Nam,1999,20.0834534,105.8589756
Aedes albopictus,11710,Viet Nam,2000,20.8816206,106.6790146
Aedes albopictus,11712,Fiji,1992,-17.7493989,177.4529413
Aedes albopictus,11712,Fiji,1992,-16.4038897,179.04897
Aedes albopictus,11789,Gabon,2006,0.3208235,9.4952738
Aedes albopictus,11890,Brazil,1999,-23.3112878,-51.1595023
Aedes albopictus,11901,Brazil,1998,-22.9110137,-43.2093727
Aedes albopictus,11902,Brazil,2001,-22.7592175,-43.4508728
Aedes albopictus,11924,Brazil,2005,-22.9110137,-43.2093727
Aedes albopictus,11998,Brazil,1995,-22.2172002,-49.9500061
Aedes albopictus,12024,United States of America,1992,27.7567667,-81.4639835
Aedes albopictus,12024,United States of America,1992,27.9477595,-82.458444
Aedes albopictus,12024,United States of America,1992,29.4246002,-98.4951405
