vector,source_type,country,year,y,x
Aedes aegypti,1,Ghana,2011,8.0300284,-1.0800271
Aedes aegypti,1,Cape Verde,2011,16.0000552,-24.0083947
Aedes aegypti,1,Senegal,2011,14.4750607,-14.4529612
Aedes aegypti,1,Cote D'ivoire,2011,7.9897371,-5.5679458
Aedes aegypti,1,Cameroun,2011,4.6125522,13.1535811
Aedes aegypti,1,Central African Republic,2011,7.0323598,19.9981227
Aedes aegypti,1,Nigeria,2011,9.6000359,7.9999721
Aedes aegypti,1,Thailand,2011,14.8971921,100.83273
Aedes aegypti,1,Malaysia,2011,4.5693754,102.2656823
Aedes aegypti,2,United States,2004,27.7567667,-81.4639835
Aedes aegypti,4,China,2017,19.2000001,109.5999999
Aedes aegypti,5,Burkina Faso,2016,12.0753083,-1.6880314
Aedes aegypti,5,Ghana,2017,8.0300284,-1.0800271
Aedes aegypti,5,Senegal,2017,14.4750607,-14.4529612
Aedes aegypti,6,China,2021,19.1602864,109.6288914
Aedes aegypti,7,China,2021,19.1602864,109.6288914
Aedes aegypti,8,Colombia,2015,6.2697324,-75.6025597
Aedes aegypti,8,Colombia,2016,6.2697324,-75.6025597
Aedes aegypti,8,Colombia,2017,6.2697324,-75.6025597
Aedes aegypti,8,Colombia,2019,6.2697324,-75.6025597
Aedes aegypti,9,United States,1880,27.7567667,-81.4639835
Aedes aegypti,9,China,1980,19.2000001,109.5999999
Aedes aegypti,9,China,1980,20.7610912,110.027989
Aedes aegypti,9,China,2021,28.7809249,113.2382932
Aedes aegypti,9,China,2021,20.765575,109.759985
Aedes aegypti,10,Mexico,2017,20.9670759,-89.6237402
Aedes aegypti,10,Mexico,2019,20.9670759,-89.6237402
Aedes aegypti,13,Republic of the Congo,2017,-4.272507,15.2830399
Aedes aegypti,13,Republic of the Congo,2017,,
Aedes aegypti,13,Republic of the Congo,2017,,
Aedes aegypti,13,Republic of the Congo,2017,,
Aedes aegypti,15,,2015,-24.7761086,134.755
Aedes aegypti,15,,2015,61.0666922,-107.991707
Aedes aegypti,15,,2015,51.0,10.0
Aedes aegypti,15,,2015,39.7837304,-100.445882
Aedes aegypti,17,Pakistan,2011,31.5656822,74.3141829
Aedes aegypti,17,Pakistan,2012,31.5656822,74.3141829
Aedes aegypti,17,Pakistan,2015,31.5656822,74.3141829
Aedes aegypti,17,Pakistan,2016,31.5656822,74.3141829
Aedes aegypti,18,Benin,2021,9.5293472,2.2584408
Aedes aegypti,18,Benin,2021,,
Aedes aegypti,18,Benin,2022,,
Aedes aegypti,18,Benin,2021,6.6805991,2.718289
Aedes aegypti,18,Benin,2021,7.2507025,2.4030736
Aedes aegypti,18,Benin,2021,6.4538637,2.354245
Aedes aegypti,18,Benin,2021,6.5310594,2.6633616
Aedes aegypti,18,Benin,2021,7.0118246,2.5983039
Aedes aegypti,18,Benin,2021,7.1816331,2.0695683
Aedes aegypti,20,Panama,2014,8.559559,-81.1308434
Aedes aegypti,22,Italy,2013,42.6384261,12.674297
Aedes aegypti,22,Italy,2016,42.6384261,12.674297
Aedes aegypti,23,Thailand,2000,14.8971921,100.83273
Aedes aegypti,26,Vietnam,1990,,
Aedes aegypti,26,Venezuela,1990,,
Aedes aegypti,26,Cameroon,1990,4.6125522,13.1535811
Aedes aegypti,28,Colombia,2011,6.2697324,-75.6025597
Aedes aegypti,29,Cameroon,2020,4.0429389,9.7062018
Aedes aegypti,29,Cameroon,2020,,
Aedes aegypti,29,Cameroon,2020,3.8689867,11.5213344
Aedes aegypti,29,Cameroon,2020,10.6033083,14.3281625
Aedes aegypti,29,Cameroon,2020,7.3211536,13.5878214
Aedes aegypti,29,Cameroon,2020,9.3070698,13.3934527
Aedes aegypti,30,Laos,2019,,
Aedes aegypti,30,Laos,2019,18.9205771,102.4436926
Aedes aegypti,30,Laos,2019,17.9795525,102.631756
Aedes aegypti,30,Laos,2019,17.9996728,102.6443348
Aedes aegypti,31,Malaysia,1970,3.1526589,101.7022205
Aedes aegypti,32,Cameroon,2007,3.8689867,11.5213344
Aedes aegypti,32,Cameroon,2017,3.8689867,11.5213344
Aedes aegypti,32,Cameroon,2018,3.8689867,11.5213344
Aedes aegypti,35,Vietnam,1910,16.4639321,107.5863388
Aedes aegypti,35,Vietnam,1959,15.9266657,107.9650855
Aedes aegypti,35,Vietnam,2010,15.9266657,107.9650855
Aedes aegypti,37,Canada,2016,,
Aedes aegypti,38,Cameroon,2017,4.6125522,13.1535811
Aedes aegypti,39,Nepal,2009,,
Aedes aegypti,39,Nepal,2017,27.6811896,84.4301652
Aedes aegypti,39,Nepal,2017,28.2006145,83.9821924
Aedes aegypti,39,Nepal,2018,28.2006145,83.9821924
Aedes aegypti,40,Indonesia,2016,-2.4833826,117.8902853
Aedes aegypti,40,Indonesia,2017,-2.4833826,117.8902853
Aedes aegypti,41,Singapore,2008,1.357107,103.8194992
Aedes aegypti,41,Singapore,2016,1.357107,103.8194992
Aedes aegypti,41,Singapore,2008,1.357107,103.8194992
Aedes aegypti,41,Singapore,2008,1.357107,103.8194992
Aedes aegypti,41,Singapore,2008,1.357107,103.8194992
Aedes aegypti,42,Panama,2016,8.559559,-81.1308434
Aedes aegypti,45,China,2000,25.0,102.0
Aedes aegypti,45,China,2000,19.2000001,109.5999999
Aedes aegypti,45,China,2000,23.1357694,113.1982688
Aedes aegypti,45,China,2000,24.0,109.0
Aedes aegypti,45,China,2000,21.0008933,110.0001973
Aedes aegypti,45,China,2000,25.0,102.0
Aedes aegypti,46,United States,2017,,
Aedes aegypti,46,United States,2017,,
Aedes aegypti,46,United States,2017,,
Aedes aegypti,46,United States,2017,,
Aedes aegypti,46,United States,2017,,
Aedes aegypti,46,United States,2017,,
Aedes aegypti,47,Thailand,2009,,
Aedes aegypti,49,Philippines,2021,10.47,123.83
Aedes aegypti,50,United States,1995,39.7837304,-100.445882
Aedes aegypti,51,Puerto Rico,2012,17.9717653,-66.3029886
Aedes aegypti,51,Puerto Rico,2012,17.9717653,-66.3029886
Aedes aegypti,51,Puerto Rico,2011,17.9811594,-66.1163408
Aedes aegypti,51,Puerto Rico,2013,17.9811594,-66.1163408
Aedes aegypti,51,Puerto Rico,2014,17.9811594,-66.1163408
Aedes aegypti,51,Puerto Rico,2014,17.9796036,-66.6097821
Aedes aegypti,51,Puerto Rico,2014,18.0732802,-66.3765156
Aedes aegypti,51,Brazil,2010,-3.1316333,-59.9825041
Aedes aegypti,54,United States,1995,39.7837304,-100.445882
Aedes aegypti,56,Australia,2014,-22.1646782,144.5844903
Aedes aegypti,56,Australia,2014,-10.416667,142.166667
Aedes aegypti,56,Australia,2014,-16.9206657,145.7721854
Aedes aegypti,56,Australia,2015,-22.1646782,144.5844903
Aedes aegypti,56,Australia,2015,-10.416667,142.166667
Aedes aegypti,56,Australia,2016,-22.1646782,144.5844903
Aedes aegypti,56,Australia,2016,-10.416667,142.166667
Aedes aegypti,56,Australia,2018,-22.1646782,144.5844903
Aedes aegypti,56,Australia,2018,-10.416667,142.166667
Aedes aegypti,58,Mexico,2017,26.9264212,-105.6817818
Aedes aegypti,58,Mexico,2017,27.7876639,-99.8757684
Aedes aegypti,59,Brazil,1985,-22.9110137,-43.2093727
Aedes aegypti,59,Brazil,1986,-22.9110137,-43.2093727
Aedes aegypti,61,Sri Lanka,2017,7.2931208,80.6350358
Aedes aegypti,63,United States,2015,27.7567667,-81.4639835
Aedes aegypti,63,Brazil,2015,-10.3333333,-53.2
Aedes aegypti,63,Gabon,2015,-0.8999695,11.6899699
Aedes aegypti,63,Ivory Coast,2015,7.9897371,-5.5679458
Aedes aegypti,63,Malaysia,2015,4.5693754,102.2656823
Aedes aegypti,65,New Caledonia,2018,-22.2745264,166.442419
Aedes aegypti,65,New Caledonia,2018,-21.0608439,164.8619054
Aedes aegypti,65,New Caledonia,2018,-22.1676665,166.4580117
Aedes aegypti,65,Brazil,2018,-3.1316333,-59.9825041
Aedes aegypti,65,Brazil,2018,,
Aedes aegypti,65,Brazil,2018,,
Aedes aegypti,65,Brazil,2018,-15.5986686,-56.0991301
Aedes aegypti,65,Brazil,2018,,
Aedes aegypti,66,United States,2017,25.9024289,-97.4981698
Aedes aegypti,66,United States,1985,31.2638905,-98.5456116
Aedes aegypti,67,Central Africa,2000,-25.3579401,-57.5835295
Aedes aegypti,67,South Africa,1990,-28.8166236,24.991639
Aedes aegypti,67,Nigeria,1991,9.6000359,7.9999721
Aedes aegypti,67,China,2019,35.0000663,104.999955
Aedes aegypti,67,China,2019,19.2000001,109.5999999
Aedes aegypti,67,China,2019,23.1357694,113.1982688
Aedes aegypti,69,Republic of the Congo,2017,-4.272507,15.2830399
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,2017,,
Aedes aegypti,69,Republic of the Congo,1970,-4.272507,15.2830399
Aedes aegypti,70,Australia,2019,-16.9206657,145.7721854
Aedes aegypti,72,United States,2021,40.3496953,-74.6597376
Aedes aegypti,72,United States,2021,40.9900326,-88.7292337
Aedes aegypti,72,United States,2021,39.5162401,-76.9382069
Aedes aegypti,74,the Americas,1600,24.7951304,-107.4123106
Aedes aegypti,76,Singapore,2009,1.2962018,103.7768977
Aedes aegypti,76,China,2014,25.7017448,-99.236325
Aedes aegypti,76,Italy,2014,32.1806212,-96.8783389
Aedes aegypti,76,China,2016,25.7017448,-99.236325
Aedes aegypti,76,Italy,2016,32.1806212,-96.8783389
Aedes aegypti,76,China,2017,25.7017448,-99.236325
Aedes aegypti,76,Italy,2017,32.1806212,-96.8783389
Aedes aegypti,76,China,2018,25.7017448,-99.236325
Aedes aegypti,76,Italy,2018,32.1806212,-96.8783389
Aedes aegypti,76,China,2019,25.7017448,-99.236325
Aedes aegypti,79,Brazil,2016,-22.954074,-43.1679727
Aedes aegypti,79,Brazil,2016,-5.805398,-35.2080905
Aedes aegypti,80,Singapore,2005,1.357107,103.8194992
Aedes aegypti,80,Mexico,2016,23.6585116,-102.0077097
Aedes aegypti,80,Australia,2016,,
Aedes aegypti,82,China,2016,35.0000663,104.999955
Aedes aegypti,82,Senegal,2014,14.4750607,-14.4529612
Aedes aegypti,83,Indonesia,2015,-7.8012646,110.3646857
Aedes aegypti,86,Malaysia,2016,3.1526589,101.7022205
Aedes aegypti,86,Malaysia,2016,3.0739429,101.5185278
Aedes aegypti,86,Malaysia,2019,3.0739429,101.5185278
Aedes aegypti,88,Thailand,2022,16.4273036,102.8085551
Aedes aegypti,89,Singapore,1960,1.357107,103.8194992
Aedes aegypti,90,Mozambique,2015,-14.966969,39.2707752
Aedes aegypti,90,Mozambique,2015,-12.4254942,39.4168743
Aedes aegypti,90,Mozambique,2015,-13.0638577,36.4669964
Aedes aegypti,90,Mozambique,2015,-14.5537162,40.690756
Aedes aegypti,90,Mozambique,2015,-14.966969,39.2707752
Aedes aegypti,90,Mozambique,2015,,
Aedes aegypti,90,Mozambique,2015,-19.0400995,33.4318137
Aedes aegypti,90,Mozambique,2015,-15.5205193,32.7682742
Aedes aegypti,90,Mozambique,2015,-19.0771666,34.7164804
Aedes aegypti,93,United States,1964,39.7837304,-100.445882
Aedes aegypti,96,Australia,1887,-24.7761086,134.755
Aedes aegypti,96,South Pacific,1904,7.0654996,125.5133981
Aedes aegypti,96,Tanzania,1952,-6.5247123,35.7878438
Aedes aegypti,96,Thailand,1991,14.8971921,100.83273
Aedes aegypti,96,Democratic Republic of Congo,1999,-2.9814344,23.8222636
Aedes aegypti,97,Reunion Island,2014,-21.1307379,55.5364801
Aedes aegypti,97,Reunion Island,2014,,
Aedes aegypti,97,Reunion Island,2018,,
Aedes aegypti,98,Cameroon,2006,4.0429389,9.7062018
Aedes aegypti,98,Cameroon,2006,3.8689867,11.5213344
Aedes aegypti,98,Cameroon,2006,4.0233735,9.7292726
Aedes aegypti,98,Cameroon,2006,9.1775586,13.4378888
Aedes aegypti,98,Cameroon,2006,10.6033083,14.3281625
